cholesterol_level,population_perc
60.0,0.1287001287001287
70.0,0.1287001287001287
85.0,0.2574002574002574
90.0,0.1287001287001287
95.0,0.2574002574002574
100.0,0.2574002574002574
105.0,0.9009009009009009
110.0,0.6435006435006435
115.0,1.287001287001287
120.0,1.1583011583011582
125.0,1.673101673101673
130.0,1.1583011583011582
135.0,1.673101673101673
140.0,1.8018018018018018
145.0,3.7323037323037322
150.0,2.3166023166023164
155.0,3.7323037323037322
160.0,4.1184041184041185
165.0,3.7323037323037322
170.0,4.890604890604891
175.0,4.633204633204633
180.0,4.504504504504505
185.0,4.1184041184041185
190.0,4.504504504504505
195.0,5.019305019305019
200.0,4.504504504504505
205.0,4.761904761904762
210.0,3.346203346203346
215.0,3.6036036036036037
220.0,2.96010296010296
225.0,2.574002574002574
230.0,2.7027027027027026
235.0,2.7027027027027026
240.0,2.4453024453024454
245.0,1.9305019305019306
250.0,2.187902187902188
255.0,1.8018018018018018
260.0,2.7027027027027026
265.0,0.6435006435006435
270.0,0.5148005148005148
275.0,0.5148005148005148
280.0,0.5148005148005148
285.0,0.6435006435006435
295.0,0.1287001287001287
300.0,0.2574002574002574
305.0,0.1287001287001287
310.0,0.2574002574002574
315.0,0.2574002574002574
325.0,0.1287001287001287
335.0,0.2574002574002574
340.0,0.2574002574002574
360.0,0.1287001287001287
375.0,0.1287001287001287
390.0,0.2574002574002574
